"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T"
"A_2","B_1","C_2","D_2","E_2","F_3","G_2","H_1","I_3","J_2","K_1","L_1","M_1","N_1","O_1","P_2","Q_3","R_3","S_2","T_1"
"A_2","B_1","C_2","D_3","E_1","F_1","G_3","H_3","I_3","J_1","K_1","L_1","M_2","N_2","O_1","P_2","Q_2","R_1","S_1","T_2"
"A_2","B_2","C_1","D_3","E_1","F_1","G_3","H_3","I_2","J_2","K_2","L_1","M_2","N_1","O_3","P_1","Q_2","R_3","S_2","T_1"
"A_1","B_1","C_3","D_1","E_1","F_1","G_1","H_3","I_3","J_1","K_2","L_2","M_1","N_2","O_3","P_2","Q_3","R_2","S_1","T_3"
"A_1","B_1","C_1","D_3","E_2","F_1","G_2","H_1","I_3","J_2","K_1","L_2","M_2","N_1","O_3","P_2","Q_2","R_1","S_2","T_2"
"A_2","B_2","C_2","D_3","E_1","F_1","G_2","H_3","I_2","J_2","K_2","L_1","M_2","N_1","O_1","P_1","Q_2","R_2","S_1","T_2"
"A_1","B_2","C_1","D_3","E_1","F_2","G_1","H_2","I_1","J_1","K_1","L_2","M_2","N_2","O_3","P_1","Q_3","R_2","S_2","T_2"
"A_1","B_1","C_1","D_1","E_2","F_2","G_1","H_1","I_3","J_2","K_2","L_2","M_3","N_2","O_1","P_1","Q_1","R_3","S_1","T_1"
"A_2","B_2","C_2","D_1","E_1","F_1","G_2","H_2","I_3","J_1","K_2","L_2","M_1","N_1","O_3","P_1","Q_2","R_2","S_2","T_1"
"A_2","B_1","C_3","D_2","E_1","F_1","G_2","H_1","I_2","J_1","K_1","L_2","M_2","N_2","O_1","P_1","Q_3","R_2","S_1","T_3"
"A_2","B_1","C_2","D_1","E_2","F_1","G_2","H_2","I_3","J_2","K_1","L_1","M_1","N_2","O_2","P_1","Q_2","R_1","S_1","T_2"
"A_2","B_1","C_1","D_3","E_1","F_2","G_1","H_1","I_2","J_2","K_2","L_1","M_2","N_2","O_2","P_1","Q_1","R_3","S_2","T_2"
"A_1","B_2","C_3","D_1","E_2","F_2","G_3","H_1","I_3","J_2","K_1","L_1","M_2","N_2","O_3","P_2","Q_1","R_3","S_2","T_1"
"A_2","B_2","C_3","D_1","E_2","F_3","G_1","H_1","I_1","J_2","K_1","L_1","M_1","N_2","O_2","P_2","Q_2","R_2","S_2","T_2"
"A_1","B_1","C_2","D_2","E_2","F_1","G_3","H_1","I_2","J_1","K_1","L_1","M_1","N_2","O_3","P_1","Q_1","R_2","S_1","T_2"
"A_2","B_2","C_1","D_1","E_2","F_2","G_3","H_3","I_3","J_2","K_2","L_1","M_1","N_1","O_3","P_2","Q_2","R_2","S_2","T_3"
"A_2","B_2","C_1","D_3","E_1","F_3","G_2","H_2","I_1","J_2","K_1","L_1","M_3","N_2","O_2","P_2","Q_3","R_3","S_1","T_1"
"A_1","B_2","C_1","D_3","E_1","F_1","G_1","H_3","I_1","J_1","K_2","L_2","M_1","N_1","O_2","P_1","Q_1","R_1","S_1","T_2"
"A_2","B_1","C_1","D_3","E_1","F_3","G_3","H_2","I_3","J_2","K_2","L_2","M_2","N_2","O_3","P_1","Q_1","R_1","S_1","T_1"
"A_2","B_2","C_1","D_3","E_1","F_2","G_3","H_2","I_3","J_2","K_2","L_1","M_1","N_1","O_3","P_2","Q_1","R_3","S_1","T_2"
"A_2","B_1","C_3","D_2","E_2","F_3","G_2","H_3","I_2","J_1","K_2","L_2","M_3","N_1","O_2","P_1","Q_2","R_2","S_2","T_2"
"A_2","B_1","C_2","D_2","E_2","F_2","G_1","H_2","I_3","J_2","K_2","L_1","M_1","N_2","O_3","P_2","Q_3","R_3","S_2","T_1"
"A_2","B_1","C_1","D_2","E_1","F_3","G_1","H_1","I_1","J_2","K_2","L_1","M_2","N_2","O_2","P_2","Q_3","R_2","S_2","T_3"
"A_2","B_1","C_1","D_2","E_2","F_2","G_1","H_1","I_2","J_1","K_2","L_1","M_1","N_1","O_3","P_2","Q_3","R_3","S_2","T_1"
"A_1","B_1","C_1","D_3","E_1","F_3","G_1","H_2","I_1","J_1","K_2","L_1","M_3","N_1","O_2","P_1","Q_2","R_1","S_2","T_1"
"A_1","B_2","C_2","D_2","E_2","F_1","G_1","H_3","I_2","J_2","K_2","L_1","M_3","N_2","O_3","P_2","Q_1","R_1","S_1","T_2"
"A_1","B_2","C_2","D_3","E_1","F_1","G_2","H_3","I_2","J_1","K_2","L_2","M_2","N_1","O_3","P_1","Q_3","R_1","S_2","T_3"
"A_1","B_2","C_2","D_2","E_1","F_3","G_3","H_3","I_1","J_1","K_1","L_2","M_3","N_1","O_3","P_2","Q_1","R_3","S_1","T_1"
"A_1","B_1","C_1","D_2","E_2","F_2","G_2","H_1","I_3","J_1","K_1","L_1","M_3","N_1","O_3","P_2","Q_1","R_2","S_2","T_3"
"A_2","B_1","C_1","D_1","E_2","F_2","G_3","H_3","I_3","J_2","K_2","L_2","M_1","N_1","O_3","P_2","Q_3","R_3","S_2","T_1"
"A_1","B_2","C_2","D_1","E_2","F_1","G_2","H_3","I_3","J_2","K_1","L_2","M_1","N_1","O_3","P_1","Q_1","R_1","S_2","T_2"
"A_1","B_1","C_1","D_1","E_1","F_3","G_2","H_2","I_1","J_1","K_1","L_2","M_1","N_1","O_1","P_1","Q_1","R_1","S_2","T_2"
"A_2","B_1","C_1","D_3","E_2","F_3","G_2","H_1","I_3","J_1","K_1","L_2","M_2","N_2","O_1","P_2","Q_1","R_2","S_2","T_1"
"A_1","B_2","C_3","D_1","E_1","F_2","G_1","H_2","I_2","J_1","K_1","L_1","M_3","N_2","O_1","P_2","Q_2","R_2","S_2","T_3"
"A_1","B_2","C_1","D_1","E_1","F_1","G_1","H_2","I_1","J_1","K_1","L_1","M_1","N_1","O_2","P_1","Q_1","R_2","S_1","T_3"
"A_1","B_1","C_1","D_2","E_1","F_3","G_3","H_1","I_1","J_2","K_2","L_1","M_1","N_1","O_3","P_2","Q_2","R_2","S_1","T_2"
"A_1","B_1","C_2","D_3","E_1","F_1","G_2","H_3","I_3","J_1","K_1","L_1","M_1","N_1","O_1","P_2","Q_3","R_3","S_1","T_2"
"A_1","B_1","C_3","D_2","E_2","F_1","G_2","H_3","I_3","J_1","K_2","L_2","M_2","N_2","O_2","P_2","Q_2","R_1","S_1","T_1"
"A_2","B_1","C_1","D_1","E_2","F_2","G_3","H_2","I_3","J_1","K_1","L_1","M_3","N_1","O_1","P_2","Q_1","R_2","S_2","T_1"
"A_1","B_1","C_1","D_1","E_2","F_3","G_3","H_3","I_1","J_2","K_1","L_2","M_2","N_1","O_1","P_1","Q_1","R_3","S_1","T_1"
"A_2","B_1","C_1","D_3","E_1","F_3","G_1","H_2","I_3","J_2","K_2","L_2","M_2","N_2","O_1","P_2","Q_3","R_3","S_2","T_1"
"A_1","B_1","C_1","D_3","E_1","F_1","G_1","H_2","I_3","J_2","K_2","L_2","M_2","N_2","O_1","P_1","Q_1","R_1","S_2","T_3"
"A_2","B_2","C_1","D_1","E_2","F_3","G_1","H_2","I_3","J_1","K_1","L_1","M_3","N_2","O_3","P_1","Q_3","R_3","S_1","T_2"
"A_1","B_2","C_3","D_1","E_2","F_3","G_3","H_2","I_3","J_2","K_2","L_1","M_3","N_2","O_2","P_1","Q_2","R_1","S_1","T_2"
"A_1","B_2","C_2","D_2","E_1","F_2","G_3","H_2","I_1","J_2","K_1","L_2","M_1","N_2","O_1","P_1","Q_2","R_1","S_2","T_1"
"A_2","B_2","C_1","D_3","E_1","F_2","G_3","H_3","I_1","J_1","K_1","L_1","M_1","N_2","O_1","P_1","Q_2","R_3","S_1","T_2"
"A_2","B_1","C_3","D_3","E_1","F_2","G_1","H_1","I_1","J_2","K_2","L_2","M_1","N_2","O_3","P_1","Q_3","R_3","S_2","T_3"
"A_2","B_2","C_1","D_3","E_2","F_1","G_3","H_3","I_3","J_1","K_2","L_1","M_1","N_2","O_3","P_1","Q_3","R_1","S_2","T_1"
"A_1","B_1","C_1","D_2","E_2","F_2","G_1","H_2","I_2","J_2","K_2","L_2","M_1","N_2","O_2","P_1","Q_3","R_2","S_1","T_1"
"A_2","B_2","C_3","D_2","E_2","F_3","G_3","H_1","I_2","J_2","K_1","L_1","M_2","N_1","O_1","P_1","Q_1","R_2","S_2","T_2"
"A_1","B_1","C_3","D_3","E_1","F_2","G_2","H_2","I_1","J_1","K_2","L_2","M_1","N_1","O_1","P_1","Q_3","R_1","S_2","T_1"
"A_2","B_1","C_1","D_1","E_2","F_1","G_3","H_2","I_3","J_1","K_2","L_2","M_3","N_2","O_3","P_1","Q_2","R_1","S_2","T_1"
"A_2","B_1","C_2","D_1","E_2","F_1","G_2","H_2","I_3","J_2","K_1","L_2","M_1","N_2","O_1","P_1","Q_2","R_1","S_1","T_3"
"A_1","B_2","C_1","D_1","E_1","F_3","G_2","H_2","I_2","J_2","K_1","L_1","M_1","N_1","O_2","P_2","Q_1","R_2","S_2","T_2"
"A_2","B_2","C_1","D_3","E_2","F_2","G_3","H_1","I_2","J_1","K_2","L_1","M_3","N_2","O_2","P_1","Q_2","R_2","S_2","T_1"
"A_2","B_1","C_1","D_2","E_2","F_2","G_1","H_1","I_1","J_2","K_2","L_1","M_1","N_2","O_2","P_1","Q_1","R_3","S_1","T_1"
"A_2","B_1","C_3","D_2","E_2","F_3","G_1","H_3","I_3","J_2","K_2","L_1","M_2","N_2","O_1","P_2","Q_2","R_3","S_2","T_2"
"A_1","B_2","C_2","D_2","E_2","F_1","G_3","H_1","I_1","J_1","K_1","L_2","M_1","N_2","O_3","P_1","Q_1","R_1","S_1","T_2"
"A_2","B_2","C_2","D_2","E_2","F_2","G_3","H_2","I_2","J_2","K_1","L_2","M_3","N_2","O_1","P_2","Q_3","R_2","S_1","T_3"
"A_1","B_2","C_3","D_3","E_1","F_2","G_2","H_2","I_1","J_1","K_2","L_1","M_3","N_1","O_1","P_1","Q_3","R_3","S_1","T_1"
"A_1","B_1","C_3","D_3","E_1","F_2","G_2","H_3","I_1","J_2","K_1","L_1","M_1","N_2","O_3","P_2","Q_1","R_1","S_2","T_3"
"A_1","B_1","C_3","D_1","E_2","F_2","G_1","H_3","I_2","J_2","K_2","L_1","M_1","N_1","O_3","P_2","Q_1","R_2","S_2","T_1"
"A_2","B_1","C_2","D_3","E_1","F_3","G_3","H_2","I_1","J_2","K_2","L_2","M_1","N_1","O_3","P_2","Q_3","R_2","S_2","T_1"
"A_2","B_2","C_3","D_2","E_1","F_1","G_2","H_2","I_1","J_1","K_2","L_2","M_1","N_1","O_3","P_1","Q_3","R_2","S_2","T_1"
"A_1","B_1","C_1","D_2","E_2","F_2","G_2","H_1","I_3","J_2","K_2","L_1","M_1","N_2","O_1","P_2","Q_2","R_1","S_2","T_3"
"A_2","B_1","C_2","D_2","E_1","F_2","G_2","H_1","I_1","J_1","K_1","L_1","M_1","N_1","O_3","P_2","Q_1","R_3","S_1","T_3"
"A_1","B_1","C_2","D_2","E_1","F_1","G_3","H_3","I_2","J_2","K_2","L_2","M_3","N_1","O_3","P_1","Q_1","R_2","S_2","T_1"
"A_1","B_1","C_3","D_1","E_1","F_3","G_3","H_1","I_1","J_1","K_1","L_2","M_1","N_2","O_2","P_2","Q_2","R_2","S_1","T_3"
"A_1","B_2","C_3","D_2","E_1","F_3","G_2","H_3","I_1","J_1","K_1","L_1","M_3","N_1","O_3","P_1","Q_3","R_2","S_2","T_1"
"A_1","B_1","C_2","D_1","E_1","F_2","G_3","H_1","I_2","J_2","K_2","L_1","M_1","N_2","O_3","P_2","Q_3","R_1","S_1","T_1"
"A_2","B_2","C_1","D_2","E_1","F_1","G_1","H_3","I_3","J_1","K_2","L_1","M_1","N_1","O_1","P_1","Q_2","R_2","S_1","T_2"
"A_1","B_2","C_1","D_1","E_1","F_2","G_1","H_2","I_2","J_1","K_2","L_1","M_3","N_1","O_1","P_1","Q_1","R_1","S_1","T_1"
"A_2","B_2","C_2","D_1","E_2","F_2","G_3","H_3","I_3","J_2","K_2","L_1","M_3","N_2","O_2","P_1","Q_1","R_1","S_1","T_1"
"A_1","B_1","C_1","D_1","E_1","F_1","G_3","H_3","I_1","J_1","K_2","L_1","M_1","N_2","O_1","P_2","Q_3","R_1","S_2","T_1"
"A_1","B_2","C_1","D_2","E_2","F_2","G_2","H_1","I_3","J_1","K_2","L_2","M_1","N_1","O_3","P_1","Q_2","R_3","S_2","T_2"
"A_2","B_1","C_2","D_2","E_1","F_2","G_2","H_3","I_3","J_1","K_1","L_1","M_3","N_2","O_3","P_1","Q_1","R_2","S_1","T_2"
"A_2","B_2","C_3","D_3","E_1","F_2","G_1","H_1","I_2","J_1","K_2","L_2","M_1","N_1","O_1","P_2","Q_2","R_1","S_1","T_2"
"A_2","B_2","C_2","D_3","E_1","F_3","G_1","H_2","I_1","J_1","K_1","L_1","M_1","N_2","O_2","P_1","Q_1","R_3","S_2","T_2"
"A_1","B_2","C_1","D_2","E_2","F_2","G_2","H_1","I_3","J_2","K_2","L_1","M_3","N_2","O_1","P_1","Q_2","R_3","S_2","T_2"
"A_1","B_2","C_2","D_1","E_2","F_3","G_1","H_1","I_1","J_2","K_2","L_1","M_2","N_1","O_1","P_2","Q_1","R_1","S_2","T_2"
"A_1","B_1","C_3","D_3","E_1","F_3","G_3","H_3","I_1","J_2","K_1","L_1","M_1","N_2","O_1","P_1","Q_3","R_3","S_2","T_3"
"A_2","B_2","C_3","D_1","E_2","F_2","G_3","H_3","I_3","J_1","K_2","L_1","M_1","N_1","O_3","P_2","Q_2","R_2","S_2","T_3"
"A_1","B_1","C_3","D_2","E_1","F_1","G_1","H_2","I_1","J_1","K_1","L_1","M_3","N_1","O_2","P_1","Q_3","R_1","S_2","T_1"
"A_1","B_1","C_3","D_2","E_2","F_2","G_3","H_3","I_2","J_1","K_2","L_1","M_3","N_2","O_3","P_1","Q_2","R_1","S_2","T_2"
"A_1","B_1","C_1","D_1","E_2","F_3","G_3","H_3","I_2","J_2","K_2","L_2","M_2","N_1","O_1","P_1","Q_2","R_3","S_2","T_2"
"A_1","B_2","C_1","D_1","E_1","F_1","G_1","H_3","I_1","J_1","K_2","L_2","M_3","N_2","O_3","P_1","Q_2","R_1","S_1","T_2"
"A_2","B_1","C_3","D_2","E_2","F_3","G_3","H_3","I_2","J_1","K_1","L_1","M_3","N_1","O_2","P_2","Q_2","R_1","S_2","T_1"
"A_2","B_2","C_3","D_2","E_2","F_1","G_3","H_3","I_3","J_2","K_2","L_1","M_1","N_1","O_2","P_2","Q_2","R_2","S_2","T_2"
"A_2","B_2","C_3","D_2","E_1","F_2","G_1","H_1","I_3","J_1","K_2","L_1","M_1","N_2","O_1","P_1","Q_1","R_2","S_2","T_1"
"A_1","B_2","C_3","D_3","E_1","F_1","G_1","H_3","I_1","J_1","K_2","L_1","M_2","N_2","O_3","P_2","Q_2","R_1","S_2","T_3"
"A_1","B_1","C_2","D_3","E_1","F_3","G_3","H_2","I_3","J_1","K_2","L_1","M_1","N_1","O_2","P_1","Q_3","R_1","S_2","T_1"
"A_1","B_2","C_2","D_3","E_1","F_2","G_3","H_1","I_2","J_1","K_2","L_2","M_1","N_1","O_2","P_1","Q_2","R_3","S_2","T_3"
"A_1","B_1","C_1","D_2","E_2","F_3","G_3","H_1","I_3","J_2","K_1","L_1","M_1","N_2","O_2","P_2","Q_1","R_1","S_2","T_1"
"A_1","B_1","C_2","D_3","E_2","F_1","G_3","H_1","I_2","J_2","K_1","L_1","M_2","N_2","O_1","P_1","Q_1","R_1","S_2","T_1"
"A_2","B_1","C_1","D_1","E_2","F_1","G_1","H_2","I_2","J_2","K_1","L_2","M_2","N_1","O_1","P_1","Q_2","R_3","S_2","T_2"
"A_2","B_1","C_2","D_2","E_1","F_1","G_1","H_1","I_1","J_1","K_2","L_1","M_1","N_1","O_3","P_1","Q_2","R_2","S_1","T_1"
"A_1","B_1","C_3","D_1","E_1","F_3","G_3","H_2","I_3","J_1","K_1","L_2","M_3","N_2","O_1","P_2","Q_2","R_1","S_2","T_2"
"A_1","B_2","C_2","D_1","E_1","F_3","G_1","H_2","I_1","J_1","K_1","L_1","M_3","N_2","O_2","P_1","Q_3","R_2","S_1","T_3"
"A_1","B_2","C_2","D_1","E_2","F_3","G_3","H_1","I_3","J_2","K_2","L_1","M_2","N_2","O_3","P_1","Q_2","R_1","S_1","T_2"
"A_1","B_2","C_2","D_1","E_2","F_1","G_1","H_3","I_1","J_1","K_2","L_1","M_1","N_1","O_2","P_2","Q_2","R_1","S_2","T_2"
"A_2","B_1","C_2","D_1","E_2","F_3","G_1","H_1","I_2","J_2","K_2","L_1","M_3","N_1","O_1","P_2","Q_3","R_2","S_2","T_1"
"A_1","B_2","C_3","D_2","E_2","F_1","G_3","H_1","I_1","J_2","K_2","L_2","M_1","N_1","O_3","P_2","Q_3","R_1","S_2","T_2"
"A_1","B_1","C_3","D_3","E_1","F_2","G_2","H_2","I_1","J_1","K_2","L_1","M_1","N_2","O_2","P_2","Q_3","R_2","S_1","T_1"
"A_1","B_1","C_3","D_2","E_2","F_2","G_3","H_1","I_2","J_1","K_2","L_2","M_3","N_2","O_3","P_2","Q_3","R_1","S_2","T_1"
"A_1","B_1","C_3","D_1","E_2","F_1","G_1","H_3","I_1","J_1","K_2","L_1","M_3","N_1","O_2","P_2","Q_2","R_2","S_2","T_1"
"A_1","B_1","C_2","D_2","E_2","F_1","G_3","H_1","I_2","J_1","K_2","L_2","M_3","N_2","O_1","P_1","Q_3","R_1","S_2","T_1"
"A_1","B_1","C_1","D_1","E_2","F_1","G_3","H_3","I_3","J_1","K_2","L_1","M_1","N_1","O_2","P_1","Q_2","R_1","S_1","T_1"
"A_1","B_2","C_1","D_3","E_1","F_1","G_1","H_3","I_2","J_1","K_2","L_2","M_1","N_1","O_1","P_1","Q_1","R_3","S_1","T_2"
"A_1","B_1","C_1","D_1","E_2","F_1","G_3","H_1","I_3","J_2","K_2","L_1","M_1","N_1","O_2","P_2","Q_1","R_3","S_2","T_1"
"A_1","B_1","C_3","D_2","E_1","F_2","G_1","H_2","I_1","J_2","K_2","L_2","M_1","N_1","O_1","P_2","Q_3","R_1","S_1","T_1"
"A_2","B_1","C_1","D_2","E_2","F_2","G_2","H_3","I_3","J_1","K_1","L_1","M_1","N_2","O_2","P_2","Q_3","R_2","S_2","T_3"
"A_2","B_2","C_3","D_2","E_1","F_2","G_3","H_1","I_2","J_1","K_2","L_2","M_1","N_1","O_3","P_1","Q_3","R_3","S_2","T_1"
"A_2","B_2","C_2","D_2","E_1","F_3","G_1","H_3","I_2","J_1","K_1","L_2","M_3","N_1","O_1","P_1","Q_1","R_2","S_1","T_3"
"A_1","B_1","C_1","D_2","E_1","F_1","G_1","H_2","I_1","J_2","K_2","L_2","M_1","N_1","O_3","P_1","Q_3","R_1","S_2","T_3"
"A_1","B_2","C_3","D_2","E_2","F_3","G_3","H_2","I_1","J_2","K_2","L_1","M_1","N_1","O_3","P_2","Q_1","R_2","S_1","T_3"
"A_1","B_1","C_3","D_1","E_2","F_1","G_2","H_3","I_3","J_1","K_2","L_2","M_1","N_1","O_1","P_2","Q_3","R_3","S_2","T_1"
"A_1","B_1","C_2","D_1","E_1","F_2","G_3","H_1","I_1","J_2","K_2","L_2","M_1","N_2","O_1","P_1","Q_2","R_2","S_2","T_1"
"A_2","B_1","C_2","D_1","E_1","F_1","G_3","H_1","I_3","J_1","K_2","L_1","M_1","N_1","O_2","P_1","Q_1","R_3","S_1","T_2"
"A_1","B_1","C_3","D_3","E_1","F_2","G_2","H_2","I_3","J_2","K_1","L_1","M_1","N_2","O_1","P_2","Q_2","R_3","S_1","T_2"
"A_1","B_2","C_1","D_3","E_1","F_3","G_1","H_2","I_3","J_1","K_1","L_2","M_1","N_2","O_1","P_1","Q_3","R_2","S_2","T_1"
"A_2","B_2","C_3","D_2","E_2","F_1","G_1","H_2","I_1","J_2","K_1","L_1","M_3","N_2","O_2","P_1","Q_2","R_2","S_1","T_2"
"A_1","B_1","C_3","D_3","E_1","F_2","G_2","H_3","I_1","J_1","K_2","L_2","M_1","N_1","O_1","P_1","Q_1","R_1","S_1","T_2"
"A_2","B_1","C_3","D_1","E_1","F_2","G_3","H_3","I_3","J_2","K_2","L_2","M_1","N_2","O_1","P_1","Q_2","R_2","S_2","T_2"
"A_2","B_2","C_1","D_1","E_2","F_2","G_2","H_3","I_3","J_2","K_2","L_1","M_3","N_1","O_1","P_1","Q_3","R_1","S_2","T_1"
"A_2","B_1","C_1","D_1","E_1","F_3","G_1","H_1","I_2","J_1","K_1","L_2","M_3","N_2","O_1","P_2","Q_1","R_2","S_1","T_2"
"A_2","B_2","C_1","D_2","E_1","F_2","G_1","H_1","I_1","J_1","K_2","L_2","M_2","N_1","O_1","P_1","Q_2","R_2","S_2","T_3"
"A_2","B_2","C_2","D_2","E_2","F_2","G_2","H_2","I_3","J_2","K_1","L_1","M_3","N_1","O_1","P_2","Q_2","R_1","S_2","T_2"
"A_1","B_1","C_1","D_2","E_2","F_2","G_3","H_2","I_2","J_2","K_1","L_2","M_2","N_2","O_1","P_2","Q_3","R_1","S_1","T_1"
"A_2","B_2","C_1","D_1","E_1","F_1","G_2","H_3","I_2","J_1","K_2","L_2","M_1","N_2","O_3","P_1","Q_2","R_1","S_2","T_1"
"A_2","B_2","C_3","D_2","E_2","F_1","G_2","H_2","I_1","J_1","K_2","L_1","M_3","N_1","O_2","P_1","Q_1","R_2","S_1","T_2"
"A_2","B_2","C_2","D_3","E_1","F_3","G_1","H_3","I_2","J_1","K_1","L_2","M_1","N_2","O_1","P_2","Q_3","R_3","S_1","T_3"
"A_1","B_2","C_1","D_3","E_1","F_1","G_3","H_1","I_1","J_2","K_2","L_1","M_3","N_1","O_1","P_2","Q_2","R_2","S_1","T_2"
"A_2","B_2","C_2","D_1","E_1","F_1","G_2","H_1","I_1","J_1","K_2","L_2","M_1","N_2","O_2","P_1","Q_1","R_2","S_1","T_2"
"A_1","B_1","C_1","D_2","E_2","F_1","G_3","H_1","I_2","J_1","K_2","L_2","M_2","N_1","O_1","P_2","Q_2","R_2","S_2","T_1"
"A_1","B_1","C_1","D_2","E_1","F_3","G_3","H_2","I_1","J_1","K_1","L_1","M_1","N_1","O_1","P_1","Q_2","R_2","S_2","T_1"
"A_2","B_2","C_3","D_3","E_1","F_2","G_1","H_1","I_3","J_1","K_2","L_1","M_1","N_1","O_3","P_1","Q_1","R_3","S_2","T_3"
"A_2","B_2","C_1","D_1","E_2","F_3","G_1","H_1","I_2","J_1","K_1","L_1","M_3","N_1","O_2","P_2","Q_3","R_2","S_2","T_1"
"A_2","B_1","C_2","D_3","E_1","F_3","G_2","H_2","I_3","J_2","K_2","L_1","M_1","N_1","O_1","P_1","Q_2","R_3","S_2","T_3"
"A_2","B_1","C_3","D_2","E_2","F_1","G_2","H_1","I_3","J_1","K_1","L_2","M_1","N_2","O_3","P_1","Q_3","R_1","S_2","T_1"
"A_2","B_2","C_1","D_1","E_1","F_1","G_3","H_1","I_1","J_2","K_2","L_2","M_1","N_2","O_3","P_1","Q_3","R_1","S_2","T_2"
"A_2","B_2","C_1","D_1","E_2","F_2","G_2","H_1","I_3","J_1","K_2","L_1","M_3","N_2","O_3","P_2","Q_1","R_2","S_2","T_2"
"A_1","B_2","C_1","D_2","E_1","F_3","G_1","H_1","I_1","J_1","K_1","L_1","M_1","N_1","O_1","P_2","Q_1","R_2","S_2","T_2"
"A_1","B_1","C_3","D_1","E_2","F_3","G_3","H_1","I_2","J_1","K_2","L_1","M_1","N_1","O_3","P_2","Q_1","R_2","S_2","T_1"
"A_1","B_2","C_3","D_2","E_1","F_2","G_1","H_1","I_1","J_1","K_2","L_1","M_1","N_2","O_1","P_2","Q_1","R_3","S_1","T_3"
"A_1","B_2","C_3","D_3","E_2","F_2","G_3","H_3","I_3","J_1","K_1","L_1","M_3","N_1","O_2","P_1","Q_1","R_2","S_1","T_1"
"A_2","B_1","C_3","D_3","E_1","F_1","G_3","H_2","I_3","J_1","K_2","L_2","M_1","N_1","O_2","P_2","Q_3","R_3","S_2","T_1"
"A_1","B_1","C_3","D_2","E_1","F_2","G_2","H_2","I_1","J_1","K_2","L_1","M_1","N_1","O_3","P_1","Q_1","R_2","S_2","T_3"
"A_1","B_1","C_3","D_3","E_1","F_1","G_1","H_2","I_2","J_1","K_2","L_2","M_1","N_2","O_1","P_2","Q_3","R_1","S_2","T_2"
"A_1","B_1","C_1","D_2","E_2","F_2","G_3","H_3","I_3","J_1","K_1","L_2","M_3","N_2","O_1","P_2","Q_3","R_3","S_2","T_1"
"A_1","B_2","C_2","D_2","E_2","F_3","G_1","H_1","I_2","J_1","K_1","L_1","M_1","N_2","O_2","P_1","Q_2","R_2","S_1","T_1"
"A_1","B_2","C_1","D_1","E_2","F_3","G_1","H_1","I_1","J_1","K_1","L_1","M_1","N_2","O_3","P_1","Q_3","R_1","S_1","T_1"
"A_1","B_2","C_2","D_2","E_1","F_1","G_1","H_3","I_2","J_1","K_2","L_1","M_1","N_1","O_2","P_1","Q_1","R_1","S_2","T_2"
"A_1","B_2","C_3","D_2","E_2","F_1","G_1","H_1","I_3","J_1","K_2","L_1","M_3","N_1","O_2","P_1","Q_1","R_3","S_1","T_2"
"A_1","B_2","C_3","D_2","E_2","F_2","G_2","H_1","I_2","J_2","K_2","L_2","M_1","N_2","O_1","P_1","Q_2","R_1","S_2","T_1"
"A_1","B_2","C_2","D_2","E_2","F_3","G_2","H_3","I_2","J_2","K_2","L_2","M_3","N_1","O_1","P_2","Q_2","R_2","S_2","T_1"
"A_2","B_1","C_1","D_3","E_1","F_3","G_2","H_2","I_2","J_1","K_1","L_2","M_3","N_1","O_3","P_2","Q_2","R_2","S_2","T_2"
"A_2","B_2","C_1","D_2","E_2","F_1","G_3","H_3","I_2","J_1","K_2","L_2","M_2","N_2","O_1","P_1","Q_1","R_2","S_2","T_3"
"A_2","B_1","C_1","D_1","E_1","F_2","G_3","H_3","I_2","J_2","K_1","L_1","M_1","N_2","O_1","P_1","Q_1","R_3","S_1","T_2"
"A_2","B_2","C_3","D_1","E_1","F_1","G_3","H_3","I_1","J_1","K_1","L_1","M_1","N_2","O_2","P_1","Q_2","R_2","S_1","T_2"
"A_1","B_2","C_1","D_1","E_2","F_1","G_1","H_3","I_3","J_2","K_2","L_1","M_3","N_1","O_3","P_2","Q_2","R_1","S_2","T_2"
"A_1","B_2","C_1","D_2","E_2","F_2","G_1","H_3","I_1","J_1","K_1","L_1","M_3","N_2","O_3","P_1","Q_3","R_1","S_2","T_1"
"A_1","B_2","C_3","D_2","E_2","F_3","G_1","H_1","I_1","J_1","K_1","L_1","M_1","N_2","O_3","P_2","Q_1","R_3","S_2","T_3"
"A_2","B_1","C_3","D_2","E_1","F_1","G_1","H_3","I_2","J_2","K_2","L_2","M_1","N_1","O_3","P_1","Q_2","R_1","S_2","T_2"
"A_1","B_2","C_3","D_3","E_1","F_1","G_1","H_1","I_2","J_1","K_2","L_2","M_2","N_1","O_2","P_2","Q_3","R_1","S_1","T_1"
"A_2","B_1","C_3","D_1","E_2","F_3","G_1","H_1","I_2","J_2","K_1","L_2","M_1","N_1","O_3","P_1","Q_2","R_2","S_2","T_3"
"A_1","B_1","C_1","D_1","E_1","F_2","G_3","H_1","I_1","J_1","K_2","L_1","M_3","N_2","O_1","P_1","Q_2","R_2","S_2","T_2"
"A_2","B_2","C_1","D_2","E_2","F_1","G_3","H_3","I_1","J_2","K_2","L_1","M_2","N_1","O_1","P_1","Q_3","R_3","S_2","T_1"
"A_1","B_1","C_3","D_2","E_2","F_3","G_3","H_2","I_3","J_1","K_2","L_2","M_1","N_2","O_2","P_1","Q_3","R_2","S_2","T_3"
